method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,26,7,9,6,1.5,35.0,156,156,0,147.0,61.56762119624499,54,0.5185185185185185,0.6144032921810699,False
aqf_topk_no_threshold,26,7,9,6,1.5,35.0,156,156,0,147.0,61.56762119624499,54,0.5185185185185185,0.6144032921810699,False
frequency_only,26,6,8,6,1.5,35.0,137,137,0,124.0,60.19782940553269,54,0.5925925925925926,0.6598765432098765,True
flattened_topk,26,1,1,6,1.5,35.0,156,156,0,147.0,61.56762119624499,54,0.5185185185185185,0.6144032921810699,False
no_operator_awareness,26,7,9,6,1.5,35.0,286,156,130,312.0,61.56762119624499,54,0.5185185185185185,0.6144032921810699,False
no_pruning,54,11,19,6,1.5,63.0,285,285,0,262.25,90.66366871579507,54,0.9814814814814815,0.9814814814814815,True
random_topk_1,26,8,13,6,1.5,35.0,137,137,0,126.25,40.91638753418259,54,0.37037037037037035,0.5629923574368019,False
random_topk_2,26,8,15,6,1.5,35.0,145,145,0,136.0,41.67444430167015,54,0.3148148148148148,0.47990887713109937,False
random_topk_3,26,9,14,6,1.5,35.0,126,126,0,112.0,41.06819797406062,54,0.3888888888888889,0.5841122868900647,False
random_topk_4,26,9,15,6,1.5,35.0,136,136,0,124.25,44.33088542844187,54,0.2777777777777778,0.5192827748383304,False
random_topk_5,26,10,14,6,1.5,35.0,133,133,0,122.75,38.00715490842914,54,0.37037037037037035,0.5118018812463256,False
random_topk_6,26,10,15,6,1.5,35.0,144,144,0,133.5,47.972969976650994,54,0.35185185185185186,0.5473544973544974,False
random_topk_7,26,7,13,6,1.5,35.0,134,134,0,122.5,41.3407426031341,54,0.25925925925925924,0.5027189888300999,False
random_topk_8,26,9,13,6,1.5,35.0,134,134,0,122.0,46.61118713149715,54,0.3148148148148148,0.5374044679600235,False
random_topk_9,26,9,12,6,1.5,35.0,131,131,0,119.0,43.603801355757945,54,0.4444444444444444,0.643018812463257,False
random_topk_10,26,8,13,6,1.5,35.0,139,139,0,127.75,44.84669583936914,54,0.3148148148148148,0.5044973544973546,False
