method,precision_at_10,precision_at_20,recall_at_20
aqf_full,0.7,0.8,0.358974358974359
aqf_topk_no_threshold,0.7,0.8,0.358974358974359
frequency_only,0.7,0.75,0.3076923076923077
flattened_topk,0.7,0.8,0.358974358974359
no_operator_awareness,0.7,0.8,0.358974358974359
no_pruning,0.7,0.8,0.358974358974359
random_topk_1,0.8,0.65,0.3076923076923077
random_topk_2,0.9,0.8,0.358974358974359
random_topk_3,0.8,0.7,0.358974358974359
random_topk_4,0.9,0.85,0.4358974358974359
random_topk_5,0.9,0.8,0.358974358974359
random_topk_6,1.0,0.9,0.38461538461538464
random_topk_7,0.9,0.8,0.38461538461538464
random_topk_8,0.8,0.8,0.3333333333333333
random_topk_9,0.7,0.8,0.38461538461538464
random_topk_10,0.8,0.75,0.38461538461538464
random_topk_11,0.9,0.85,0.4358974358974359
random_topk_12,0.8,0.75,0.38461538461538464
random_topk_13,0.7,0.7,0.358974358974359
random_topk_14,0.7,0.8,0.38461538461538464
random_topk_15,0.9,0.65,0.3333333333333333
random_topk_16,0.8,0.8,0.38461538461538464
random_topk_17,0.9,0.8,0.38461538461538464
random_topk_18,0.7,0.65,0.3333333333333333
random_topk_19,0.8,0.85,0.41025641025641024
random_topk_20,0.7,0.7,0.358974358974359
random_topk_21,0.9,0.75,0.38461538461538464
random_topk_22,0.7,0.8,0.38461538461538464
random_topk_23,0.8,0.65,0.3076923076923077
random_topk_24,0.7,0.7,0.3333333333333333
random_topk_25,0.7,0.75,0.358974358974359
random_topk_26,0.7,0.7,0.358974358974359
random_topk_27,0.8,0.7,0.3333333333333333
random_topk_28,0.8,0.75,0.38461538461538464
random_topk_29,0.7,0.7,0.3076923076923077
random_topk_30,0.8,0.85,0.4358974358974359
