method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,form_utility,query_count,strict_coverage,partial_coverage,pareto_optimal
aqf_full,29,7,9,6,1.0,35.0,165,165,0,153.25,68.12169691669843,54,0.6481481481481481,0.7080246913580247,True
aqf_topk_no_threshold,29,7,9,6,1.0,35.0,165,165,0,153.25,68.12169691669843,54,0.6481481481481481,0.7080246913580247,True
frequency_only,29,7,9,6,1.0,35.0,153,153,0,139.25,67.46256032450137,54,0.6296296296296297,0.7102880658436214,False
flattened_topk,29,1,1,6,1.0,35.0,165,165,0,153.25,68.12169691669843,54,0.6481481481481481,0.7080246913580247,True
no_operator_awareness,29,7,9,6,1.0,35.0,319,165,154,348.0,68.12169691669843,54,0.6481481481481481,0.7080246913580247,True
no_pruning,54,11,19,6,1.0,60.0,285,285,0,262.25,90.66366871579507,54,0.9814814814814815,0.9814814814814815,True
random_topk_1,29,8,13,6,1.0,35.0,155,155,0,143.25,45.3620632305801,54,0.4074074074074074,0.5775426219870664,False
random_topk_2,29,8,15,6,1.0,35.0,161,161,0,150.75,46.413848337485916,54,0.3333333333333333,0.5261463844797178,False
random_topk_3,29,9,15,6,1.0,35.0,142,142,0,126.75,46.97834743946451,54,0.3888888888888889,0.5933715461493239,False
random_topk_4,29,9,15,6,1.0,35.0,150,150,0,136.25,50.09993780760679,54,0.3148148148148148,0.5486037624926513,False
random_topk_5,29,10,15,6,1.0,35.0,151,151,0,139.75,43.31296394033839,54,0.37037037037037035,0.5229129923574368,False
random_topk_6,29,10,16,6,1.0,35.0,162,162,0,151.0,53.31751749896216,54,0.42592592592592593,0.5990299823633157,False
random_topk_7,29,7,14,6,1.0,35.0,152,152,0,140.5,47.01919413729444,54,0.2962962962962963,0.559729570840682,False
random_topk_8,29,9,14,6,1.0,35.0,152,152,0,139.0,51.78279861211607,54,0.3148148148148148,0.5466637272192828,False
random_topk_9,29,9,13,6,1.0,35.0,149,149,0,135.5,50.60499051832481,54,0.48148148148148145,0.6615373309817755,False
random_topk_10,29,9,14,6,1.0,35.0,153,153,0,140.25,49.43124805018931,54,0.37037037037037035,0.5696649029982364,False
